5670	1
7810	1
9950	1
12087	1
14230	1
16760	1
18337	1
19910	1
21487	2
23064	1
25580	2
27157	2
28731	1
30311	1
31887	1
34974	1
37111	1
39257	1
41394	2
43528	1
46574	1
48711	2
50851	2
53031	1
55165	2
58255	1
60388	1
62525	2
64665	1
66802	1
69328	1
70902	2
72475	1
74048	2
75622	2
78155	2
79732	2
81309	1
82885	2
84462	1
87542	1
89675	2
91809	2
93942	1
96076	1
98612	1
1.0019e+05	2
1.0177e+05	1
1.0334e+05	1
1.0496e+05	2
1.0748e+05	2
1.0906e+05	1
1.1064e+05	2
1.1222e+05	1
1.138e+05	2
1.1685e+05	1
1.1899e+05	1
1.2113e+05	2
1.2327e+05	2
1.254e+05	2
