5783	1
7919	1
10056	1
12193	2
14333	2
17373	1
19510	1
21643	1
23776	2
25910	1
28436	2
30010	1
31590	1
33163	1
34737	2
37257	1
38830	2
40403	1
41977	1
43550	2
46620	2
48757	1
50897	1
53034	1
55171	1
57677	2
59254	2
60831	1
62407	2
63984	1
66474	2
68048	2
69621	1
71194	2
72768	1
75834	2
77974	1
80111	1
82248	1
84388	2
86895	2
88471	1
90045	2
91625	1
93201	2
95698	1
97275	2
98852	2
1.0043e+05	1
1.02e+05	1
1.0505e+05	2
1.0718e+05	1
1.0932e+05	1
1.1151e+05	1
1.1365e+05	2
1.1671e+05	2
1.1885e+05	1
1.2099e+05	2
1.2313e+05	1
1.2526e+05	1
