7473	3
9870	3
12243	3
14623	3
17010	3
20267	3
22623	3
24704	3
27090	3
29447	3
33267	3
35907	3
38844	3
41487	3
44424	3
48297	3
51211	3
53874	3
56811	3
59444	3
63271	3
65908	3
68831	3
71485	3
74408	3
77665	3
80048	3
82412	3
84482	3
86848	3
90685	3
93615	3
96249	3
98899	3
1.0185e+05	3
1.0509e+05	3
1.0745e+05	3
1.0983e+05	3
1.1222e+05	3
1.1432e+05	3
1.1731e+05	3
1.1967e+05	3
1.2205e+05	3
1.2441e+05	3
1.2649e+05	3
1.3005e+05	3
1.3271e+05	3
1.3564e+05	3
1.3828e+05	3
1.4091e+05	3
1.4391e+05	3
1.4628e+05	3
1.4866e+05	3
1.5101e+05	3
1.5311e+05	3
1.5668e+05	3
1.5931e+05	3
1.6224e+05	3
1.6489e+05	3
1.6784e+05	3
