4336	1
6240	1
8136	1
10063	1
11900	1
14687	1
16630	2
18483	1
20403	1
22320	2
25730	1
28194	2
30657	1
33134	1
35617	1
39027	1
41534	1
44021	2
46477	1
48881	1
52321	2
54801	1
57281	1
59691	1
62108	1
65514	1
68001	2
70501	2
73011	2
75528	1
78305	1
80228	1
82088	2
84015	1
85928	1
88682	1
90598	1
92522	1
94438	2
96339	1
99709	1
1.0211e+05	1
1.0451e+05	2
1.0691e+05	1
1.0942e+05	1
1.1224e+05	1
1.1409e+05	1
1.1602e+05	1
1.1795e+05	2
1.1985e+05	1
1.227e+05	1
1.2461e+05	2
1.2652e+05	1
1.2846e+05	1
1.3029e+05	2
1.3366e+05	1
1.3614e+05	1
1.3863e+05	1
1.411e+05	1
1.4351e+05	1
