5021	2
6984	1
8948	1
10954	1
12944	1
16624	1
19181	1
21751	1
24485	1
27218	1
30288	1
32455	1
34428	1
36435	1
38445	1
41958	1
44665	1
47225	1
49772	1
52479	1
55972	1
58666	1
61416	1
63976	1
66572	1
69663	1
71799	1
73823	2
75843	1
77826	1
80896	1
83030	1
85020	1
87003	1
88996	1
92673	1
95237	1
97793	1
1.0036e+05	1
1.0298e+05	1
1.0605e+05	1
1.0804e+05	1
1.1003e+05	1
1.1203e+05	1
1.1405e+05	1
1.1768e+05	1
1.2023e+05	2
1.2281e+05	1
1.254e+05	1
1.2796e+05	2
1.3109e+05	2
1.3323e+05	1
1.3521e+05	1
1.3719e+05	1
1.3917e+05	1
1.4281e+05	1
1.4539e+05	2
1.4794e+05	1
1.5067e+05	1
1.5322e+05	1
